global_rank,file_name,color_rank,hue
1,fish_0065.png,2,0.02525252525252525
2,fish_0010.png,1,0.04444444444444443
3,fish_0015.png,3,0.055555555555555025
4,fish_0038.png,2,0.05833333333333333
5,fish_0022.png,3,0.060317460317460325
6,fish_0067.png,1,0.06201550387596901
7,fish_0004.png,2,0.06296296296296298
8,fish_0044.png,1,0.07456140350877194
9,fish_0117.png,1,0.07575757575757576
10,fish_0096.png,1,0.0787037037037037
11,fish_0065.png,1,0.08075601374570447
12,fish_0069.png,1,0.08256880733944955
13,fish_0089.png,2,0.08333333333333333
14,fish_0022.png,1,0.08333333333333333
15,fish_0067.png,2,0.08503401360544216
16,fish_0036.png,2,0.08620689655172414
17,fish_0069.png,2,0.08695652173913045
18,fish_0030.png,2,0.08809523809523812
19,fish_0010.png,2,0.08823529411764704
20,fish_0091.png,3,0.08843537414965985
21,fish_0041.png,2,0.0889967637540453
22,fish_0022.png,2,0.0891812865497076
23,fish_0115.png,2,0.08974358974358976
24,fish_0108.png,1,0.0909090909090909
25,fish_0068.png,1,0.09122807017543859
26,fish_0001.png,1,0.09126984126984128
27,fish_0036.png,3,0.09139784946236557
28,fish_0123.png,3,0.09139784946236557
29,fish_0001.png,2,0.09166666666666663
30,fish_0054.png,2,0.09180790960451975
31,fish_0057.png,2,0.09223300970873786
32,fish_0018.png,3,0.09230769230769235
33,fish_0089.png,1,0.09274193548387095
34,fish_0004.png,3,0.0930232558139535
35,fish_0069.png,3,0.09365079365079365
36,fish_0088.png,1,0.09523809523809523
37,fish_0013.png,1,0.09583333333333333
38,fish_0029.png,3,0.09756097560975611
39,fish_0063.png,2,0.09773662551440328
40,fish_0058.png,1,0.097953216374269
41,fish_0117.png,2,0.09803921568627454
42,fish_0018.png,2,0.09895833333333331
43,fish_0076.png,2,0.09895833333333336
44,fish_0116.png,2,0.0990990990990991
45,fish_0128.png,2,0.10052910052910054
46,fish_0055.png,2,0.10055096418732783
47,fish_0061.png,3,0.10057471264367816
48,fish_0048.png,2,0.10087719298245616
49,fish_0060.png,2,0.10096153846153848
50,fish_0127.png,1,0.10119047619047616
51,fish_0004.png,1,0.10185185185185186
52,fish_0121.png,2,0.10215053763440862
53,fish_0061.png,2,0.10256410256410257
54,fish_0091.png,2,0.10256410256410259
55,fish_0065.png,3,0.1041666666666667
56,fish_0029.png,2,0.10457516339869281
57,fish_0088.png,3,0.1049382716049383
58,fish_0005.png,1,0.1057347670250896
59,fish_0016.png,3,0.10579710144927539
60,fish_0030.png,1,0.10638297872340426
61,fish_0055.png,1,0.10648148148148147
62,fish_0074.png,2,0.10714285714285716
63,fish_0013.png,2,0.10759493670886076
